Start	time：2023-07-06	19:05:08.308
Date	Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	hx	hy	hz	q0	q1	q2	q3	
2023-07-06	19:05:08.399	-0.1240	-0.0771	1.0605	-29.6021	100.4639	46.2646	-3.7793	9.3768	-123.3655	0	0	0	0.4749	0.0563	0.0677	-0.8756	
2023-07-06	19:05:08.510	-0.3628	-0.1069	1.0005	3.6011	85.5713	22.5830	-2.8674	19.3469	-119.9432	0	0	0	0.4968	0.1331	0.1054	-0.8511	
2023-07-06	19:05:08.600	-0.3853	-0.0620	0.9785	10.8032	-12.6343	-1.0986	-1.2250	20.9839	-118.6688	0	0	0	0.5031	0.1513	0.1019	-0.8447	
2023-07-06	19:05:08.714	-0.2373	-0.0146	1.0029	51.5137	-140.0757	-38.4521	1.3623	12.3267	-121.0858	0	0	0	0.4878	0.0993	0.0425	-0.8663	
2023-07-06	19:05:08.806	-0.0962	0.0547	0.9619	20.6299	-110.5347	-41.4429	3.4827	1.7358	-125.5243	0	0	0	0.4570	0.0274	-0.0201	-0.8888	
2023-07-06	19:05:08.917	0.0127	0.1377	0.9365	-17.3340	-33.9355	-25.4517	6.2457	-5.6030	-130.8582	0	0	0	0.4171	-0.0218	-0.0698	-0.9059	
2023-07-06	19:05:09.005	0.0156	0.0391	0.9863	-40.4663	96.3135	63.5986	2.9608	-1.4502	-128.8202	0	0	0	0.4320	-0.0003	-0.0288	-0.9014	
2023-07-06	19:05:09.122	-0.1113	-0.0151	1.0059	-29.1748	81.4209	29.6631	0.5823	5.3448	-124.9365	0	0	0	0.4615	0.0437	0.0171	-0.8859	
2023-07-06	19:05:09.211	-0.2246	-0.0376	0.9893	-7.9956	52.6123	14.7095	-1.6644	12.5024	-122.3492	0	0	0	0.4806	0.0884	0.0651	-0.8700	
2023-07-06	19:05:09.327	-0.3062	-0.0659	0.9854	2.5635	28.5034	15.0757	-3.2465	18.1110	-120.9430	0	0	0	0.4904	0.1231	0.1019	-0.8567	
2023-07-06	19:05:09.412	-0.3345	-0.0273	1.0635	37.6587	-27.7100	-13.7329	-1.4612	20.2808	-120.0861	0	0	0	0.4935	0.1463	0.0988	-0.8517	
2023-07-06	19:05:09.532	-0.2090	0.0571	0.9541	60.4248	-112.6099	-41.1987	3.5706	9.3658	-123.0853	0	0	0	0.4724	0.0865	0.0116	-0.8770	
