Start	time：2023-08-11	13:59:57.509
Date	Time	ax	ay	az	wx	wy	wz	AngleX	AngleY	AngleZ	hx	hy	hz	q0	q1	q2	q3	
2023-08-11	13:59:57.585	0.5962	0.3750	-0.5806	-13.4888	5.9204	23.8647	140.4932	-45.3735	-13.6615	0	0	0	0.3528	0.8467	-0.2327	0.3233	
2023-08-11	13:59:57.719	0.5513	0.3804	-0.5684	-36.0718	-24.1089	31.0669	141.1084	-46.2524	-17.5891	0	0	0	0.3592	0.8370	-0.2618	0.3192	
2023-08-11	13:59:57.795	0.6045	0.3779	-0.4888	6.1646	-6.1646	7.3853	142.8387	-45.6262	-21.5222	0	0	0	0.3572	0.8353	-0.2845	0.3062	
2023-08-11	13:59:57.928	0.6343	0.3760	-0.4653	9.9487	-0.4272	-3.6621	143.8989	-45.3296	-21.2640	0	0	0	0.3486	0.8403	-0.2792	0.3073	
2023-08-11	13:59:58.009	0.6387	0.3096	-0.4932	47.1802	38.5742	-19.7144	144.2944	-46.5216	-16.9574	0	0	0	0.3340	0.8471	-0.2487	0.3303	
2023-08-11	13:59:58.111	0.6113	0.3560	-0.5181	67.8101	48.1567	-26.0010	145.2008	-49.4330	-8.4430	0	0	0	0.3003	0.8553	-0.1885	0.3779	
2023-08-11	13:59:58.196	0.6313	0.2451	-0.5840	61.7065	41.6870	-12.2681	146.4532	-51.7731	-2.5928	0	0	0	0.2690	0.8583	-0.1455	0.4120	
2023-08-11	13:59:58.324	0.6592	0.1958	-0.5908	103.3936	43.3350	-7.1411	151.5454	-54.3713	0.7196	0	0	0	0.2158	0.8629	-0.1069	0.4442	
2023-08-11	13:59:58.402	0.5942	0.2070	-0.4912	65.3687	23.2544	-7.9346	157.3682	-56.5796	3.2849	0	0	0	0.1594	0.8658	-0.0682	0.4695	
2023-08-11	13:59:58.540	0.6543	0.1797	-0.4810	76.0498	32.1045	-24.2920	160.5157	-57.6727	5.8557	0	0	0	0.1238	0.8664	-0.0374	0.4823	
