t,ax,ay,az,gx,gy,gz
86.075,9.16,1.7999999999999998,7.5,0.01,0.0,0.01
86.234,9.16,1.77,7.51,0.0,0.0,0.02
86.358,9.14,1.75,7.5,-0.030000000000000002,-0.020000000000000004,0.03
86.482,9.18,1.7400000000000002,7.47,0.0,0.0,0.02
86.606,9.200000000000001,1.7000000000000002,7.52,0.02,0.03,0.01
86.731,9.21,1.69,7.6,0.05,0.05,-0.0
86.855,9.22,1.69,7.68,0.04,0.08,-0.0
86.979,9.23,1.7000000000000002,7.779999999999999,0.01,0.06,-0.0
87.103,9.21,1.7000000000000002,7.81,0.0,0.0,0.01
87.227,9.26,1.67,7.76,0.0,-0.03,-0.01
87.351,9.25,1.6800000000000002,7.7299999999999995,0.0,-0.020000000000000004,-0.01
87.475,9.25,1.7000000000000002,7.68,0.02,-0.03,-0.01
87.6,9.270000000000001,1.69,7.6499999999999995,0.01,-0.04000000000000001,-0.0
87.724,9.24,1.7000000000000002,7.66,-0.02,0.04,0.01
87.852,9.25,1.7000000000000002,7.68,-0.009999999999999998,0.009999999999999998,-0.01
87.976,9.23,1.73,7.7299999999999995,-0.02,0.009999999999999998,-0.0
88.1,9.23,1.73,7.72,-0.02,-0.020000000000000004,-0.01
88.225,9.200000000000001,1.75,7.67,-0.009999999999999998,-0.020000000000000004,-0.01
88.349,9.21,1.75,7.6499999999999995,0.0,-0.04000000000000001,-0.01
88.473,9.200000000000001,1.7599999999999998,7.56,0.02,-0.06,-0.0
88.598,9.200000000000001,1.75,7.54,0.01,-0.04000000000000001,0.0
88.722,9.18,1.7200000000000002,7.449999999999999,0.01,0.0,0.01
88.846,9.200000000000001,1.75,7.5,0.01,-0.010000000000000002,0.01
88.971,9.18,1.73,7.5,0.01,0.0,0.0
89.095,9.18,1.73,7.51,0.01,-0.020000000000000004,0.01
89.219,9.18,1.7000000000000002,7.489999999999999,0.0,-0.020000000000000004,0.01
89.344,9.21,1.71,7.4799999999999995,0.0,0.0,0.01
89.468,9.17,1.7000000000000002,7.52,-0.009999999999999998,0.04,0.01
89.592,9.200000000000001,1.71,7.52,-0.009999999999999998,0.03,0.0
89.717,9.22,1.69,7.62,0.0,0.04,0.0
89.841,9.23,1.67,7.6,0.0,0.009999999999999998,-0.01
89.965,9.270000000000001,1.7000000000000002,7.6499999999999995,0.02,0.05,-0.02
90.09,9.24,1.7000000000000002,7.76,0.02,0.05,-0.01
90.214,9.23,1.7400000000000002,7.81,0.01,-0.020000000000000004,-0.0
90.338,9.280000000000001,1.7200000000000002,7.699999999999999,-0.009999999999999998,-0.07,-0.0
90.463,9.24,1.71,7.609999999999999,-0.009999999999999998,-0.07,0.01
90.587,9.190000000000001,1.7200000000000002,7.59,0.0,-0.05,-0.0
90.712,9.17,1.73,7.52,0.01,-0.07,0.0
90.836,9.14,1.7200000000000002,7.42,0.02,-0.14,-0.0
90.961,9.18,1.7200000000000002,7.1899999999999995,0.03,-0.15,0.01
91.085,9.110000000000001,1.71,7.26,-0.009999999999999998,0.15,0.0
91.209,9.42,1.75,7.55,-0.08,0.64,0.06
91.333,9.860000000000001,1.71,7.93,0.01,-0.05,-0.12
91.458,9.950000000000001,1.5899999999999999,7.33,0.09000000000000001,-1.67,0.03
91.582,9.8,1.7400000000000002,6.71,-0.19,0.43999999999999995,0.08
91.707,8.120000000000001,1.5499999999999998,6.55,0.37,-0.76,-0.16
91.831,10.620000000000001,1.88,5.9399999999999995,-0.21000000000000002,-0.43999999999999995,0.21
91.955,9.610000000000001,1.46,5.529999999999999,-0.22,-0.42000000000000004,0.11
92.08,8.770000000000001,1.87,5.96,-0.15000000000000002,-0.63,0.12
92.204,7.61,1.81,5.7299999999999995,-0.030000000000000002,-0.6,0.11
92.328,6.55,1.42,5.489999999999999,-0.18000000000000002,-0.95,0.17
92.453,3.19,2.05,4.07,-0.19,-0.83,0.15
92.577,3.7100000000000004,1.71,2.799999999999999,0.56,0.21,-0.23
92.701,5.79,0.84,2.459999999999999,0.35000000000000003,-0.28,-0.2
92.825,5.77,1.3399999999999999,1.0999999999999996,0.30000000000000004,-0.63,-0.06
92.949,6.109999999999999,0.6,0.629999999999999,0.03,-0.98,0.13
93.073,4.33,1.1,-0.5700000000000003,-0.05,-1.03,0.13
93.231,2.5500000000000003,0.6699999999999999,0.33000000000000007,0.22,-1.04,-0.01
93.356,1.9700000000000002,0.89,0.129999999999999,0.26,-1.19,-0.11
93.48,0.4700000000000001,0.22,0.7099999999999991,0.18,-1.65,-0.12
93.604,-2.75,-0.45999999999999996,3.0999999999999996,0.36000000000000004,-1.63,0.02
93.728,-1.87,-0.56,1.4000000000000004,0.18,-0.77,0.12
93.852,-3.31,-0.39,-0.6600000000000001,0.03,0.42000000000000004,0.18
93.976,1.37,-1.33,-2.5500000000000007,0.01,0.05,0.24
94.135,6.6499999999999995,0.62,-3.9299999999999997,0.42000000000000004,3.3,0.4
94.26,-9.92,-6.54,-10.440000000000001,-0.69,-3.5700000000000003,0.14
94.384,-4.760000000000001,1.02,4.96,-0.32999999999999996,-0.41000000000000003,0.17
94.508,-6.010000000000001,0.02999999999999997,1.5999999999999996,0.47000000000000003,0.53,0.13
94.633,-5.5600000000000005,1.24,-2.01,0.05,1.24,-0.05
94.757,-3.6799999999999997,-2.27,-7.469999999999999,-0.89,1.94,-0.19
